packet_id,timestamp,date,time,latitude,longitude,altitude,speed,battery,temperature,signal_strength,confidence
27,2026-01-01T00:00:26Z,2026-01-01,00:00:26,28.6324,-80.4374,408.17,7.671,92.7,28.93,0.854,0.957
28,2026-01-01T00:00:27Z,2026-01-01,00:00:27,28.6545,-80.431,407.82,7.616,92.76,30.4,0.892,0.966
29,2026-01-01T00:00:28Z,2026-01-01,00:00:28,28.6539,-80.4237,408.15,7.649,92.73,30.12,0.909,0.958
30,2026-01-01T00:00:29Z,2026-01-01,00:00:29,28.6471,-80.4183,407.52,7.667,92.59,31.58,0.858,1
31,2026-01-01T00:00:30Z,2026-01-01,00:00:30,28.6596,-80.4116,406.85,7.595,92.6,32.7,0.906,1
32,2026-01-01T00:00:31Z,2026-01-01,00:00:31,28.6549,-80.4019,407.85,7.709,92.49,32.05,0.831,0.988
33,2026-01-01T00:00:32Z,2026-01-01,00:00:32,28.6557,-80.3938,407.95,7.643,92.43,33.28,0.873,1
34,2026-01-01T00:00:33Z,2026-01-01,00:00:33,28.6483,-80.3854,408.79,7.646,92.32,31.37,0.927,0.974
35,2026-01-01T00:00:34Z,2026-01-01,00:00:34,28.6493,-80.3758,407.69,7.618,92.26,32.32,0.894,1
36,2026-01-01T00:00:35Z,2026-01-01,00:00:35,28.6502,-80.3653,408.42,7.619,92.22,32.42,0.902,0.974
37,2026-01-01T00:00:36Z,2026-01-01,00:00:36,28.6418,-80.3566,406.97,7.606,92.1,37.2,0.89,0.963
38,2026-01-01T00:00:37Z,2026-01-01,00:00:37,28.6326,-80.3485,408.63,7.658,92.03,33.38,0.938,0.929
39,2026-01-01T00:00:38Z,2026-01-01,00:00:38,28.6375,-80.338,407.81,,92.01,33.57,0.888,0.993
40,2026-01-01T00:00:39Z,2026-01-01,00:00:39,28.6406,-80.3283,408.83,7.605,91.87,36.19,0.869,0.938
41,2026-01-01T00:00:40Z,2026-01-01,00:00:40,28.6564,-80.3208,408.25,7.703,91.76,36.25,0.893,0.977
42,2026-01-01T00:00:41Z,2026-01-01,00:00:41,28.6468,-80.3151,407.73,7.631,91.63,33.08,0.91,0.993
43,2026-01-01T00:00:42Z,2026-01-01,00:00:42,28.6344,-80.3103,407.13,7.673,91.5,38.47,0.845,0.961
44,2026-01-01T00:00:43Z,2026-01-01,00:00:43,28.6491,-80.3012,MISSING,7.699,91.42,36.18,0.853,1
45,2026-01-01T00:00:44Z,2026-01-01,00:00:44,28.6545,-80.2931,408.82,7.639,91.29,34.57,0.863,1
46,2026-01-01T00:00:45Z,2026-01-01,?,28.6512,-80.2826,408.46,7.622,91.16,34.27,0.849,0.935
47,2026-01-01T00:00:46Z,2026-01-01,00:00:46,28.671,-80.2738,409.46,7.633,90.98,37.06,0.821,0.964
48,2026-01-01T00:00:47Z,2026-01-01,00:00:47,28.6667,-80.265,407.56,7.679,90.92,36.08,0.837,0.964
49,2026-01-01T00:00:48Z,2026-01-01,00:00:48,28.6748,-80.2543,407.22,7.722,90.86,34.66,0.871,0.925
50,2026-01-01T00:00:49Z,2026-01-01,00:00:49,,-80.2416,407.25,7.653,90.74,MISSING,0.805,ERROR
51,2026-01-01T00:00:50Z,2026-01-01,00:00:50,28.6557,-80.235,408.34,7.675,90.72,36.16,0.812,0.973
52,2026-01-01T00:00:51Z,2026-01-01,00:00:51,28.6464,-80.2266,407.71,7.684,90.56,34.92,0.843,0.968
53,2026-01-01T00:00:52Z,2026-01-01,00:00:52,28.6653,-80.2149,407.54,7.701,90.53,35.4,0.832,1
54,2026-01-01T00:00:53Z,2026-01-01,00:00:53,28.6605,-80.2104,408.18,7.639,90.41,36.61,0.793,0.966
55,2026-01-01T00:00:54Z,2026-01-01,00:00:54,28.6734,-80.2033,408.26,7.652,90.35,39.44,0.835,1
56,2026-01-01T00:00:55Z,2026-01-01,00:00:55,28.6958,-80.1942,407.07,7.612,90.29,37.65,0.84,1
57,2026-01-01T00:00:56Z,2026-01-01,00:00:56,28.6816,-80.1859,407.75,7.631,90.18,38.35,0.88,0.99
58,2026-01-01T00:00:57Z,2026-01-01,00:00:57,MISSING,-80.1781,408.95,7.679,90.13,37.22,0.857,0.953
59,2026-01-01T00:00:58Z,2026-01-01,00:00:58,28.6715,-80.1727,406.93,7.775,90.07,37.07,0.862,1
60,2026-01-01T00:00:59Z,2026-01-01,00:00:59,28.6697,-80.1643,408.27,7.669,89.96,38.22,0.861,0.925
61,2026-01-01T00:01:00Z,2026-01-01,00:01:00,28.6707,-80.1561,408.28,7.65,89.87,38.65,0.867,0.999
62,2026-01-01T00:01:01Z,2026-01-01,00:01:01,28.6704,-80.1496,407.22,7.703,89.74,35.3,0.851,0.964
63,2026-01-01T00:01:02Z,2026-01-01,00:01:02,28.6846,-80.1419,408.44,7.624,89.71,39.88,0.83,1
64,2026-01-01T00:01:03Z,2026-01-01,00:01:03,28.6807,-80.1353,408.66,7.608,89.63,40.69,0.84,0.984
65,2026-01-01T00:01:04Z,2026-01-01,00:01:04,28.7023,-80.1251,408.69,7.672,89.51,37.28,0.847,0.895
66,2026-01-01T00:01:05Z,2026-01-01,00:01:05,28.6979,-80.1208,409.01,7.67,89.38,37.04,0.823,0.918
67,2026-01-01T00:01:06Z,2026-01-01,00:01:06,28.7045,-80.1075,409.17,7.652,89.34,39.96,0.85,1
68,2026-01-01T00:01:07Z,2026-01-01,00:01:07,28.6922,-80.0993,407.84,7.667,89.24,40.92,0.884,1
69,2026-01-01T00:01:08Z,2026-01-01,00:01:08,28.6749,-80.0913,407.02,7.692,89.29,39.45,0.835,0.935
70,2026-01-01T00:01:09Z,2026-01-01,00:01:09,28.6718,-80.087,409.34,7.638,89.16,37.85,0.901,0.984
71,2026-01-01T00:01:10Z,2026-01-01,00:01:10,28.6688,-80.0799,?,7.669,89.13,40.67,0.875,1
72,2026-01-01T00:01:11Z,2026-01-01,00:01:11,28.667,-80.0759,407.29,7.636,89.01,40.44,0.841,1
73,2026-01-01T00:01:12Z,2026-01-01,00:01:12,28.6455,-80.0711,408.95,7.649,88.98,41.92,0.853,0.96
74,2026-01-01T00:01:13Z,2026-01-01,00:01:13,28.6634,-80.0642,406.68,7.646,88.92,39.9,0.814,1
75,2026-01-01T00:01:14Z,2026-01-01,00:01:14,,-80.0582,407.58,7.636,88.82,,0.838,ERROR
76,2026-01-01T00:01:15Z,2026-01-01,00:01:15,28.6686,-80.0475,407.96,7.679,88.76,41.48,0.781,0.95
77,2026-01-01T00:01:16Z,2026-01-01,00:01:16,28.6816,-80.0416,408.04,7.6,88.65,40.4,0.838,0.947
78,2026-01-01T00:01:17Z,2026-01-01,00:01:17,28.6872,-80.035,407.23,7.71,88.58,42.28,0.868,0.925
MISSING,2026-01-01T00:01:18Z,2026-01-01,00:01:18,28.6832,-80.0267,407.34,7.637,88.46,41.17,0.853,0.983
80,2026-01-01T00:01:19Z,2026-01-01,00:01:19,28.6613,-80.0182,408.41,7.723,88.31,42.44,0.849,1
81,2026-01-01T00:01:20Z,2026-01-01,00:01:20,28.6562,-80.0106,409.91,7.65,88.25,41.59,0.855,1
82,2026-01-01T00:01:21Z,2026-01-01,00:01:21,28.6298,-80.005,407.87,7.634,88.15,40.15,0.845,0.973
83,2026-01-01T00:01:22Z,,00:01:22,28.6242,-79.999,408.53,7.684,88.01,41.76,0.824,0.969
84,2026-01-01T00:01:23Z,2026-01-01,00:01:23,28.6277,-79.9959,410.09,7.635,88.03,42.48,0.809,0.982
85,2026-01-01T00:01:24Z,2026-01-01,00:01:24,28.6244,-79.9879,409.5,7.622,87.94,42.12,0.856,1
86,2026-01-01T00:01:25Z,2026-01-01,00:01:25,28.6402,-79.9783,407.21,7.649,87.81,43.45,0.831,0.982
87,2026-01-01T00:01:26Z,2026-01-01,00:01:26,28.6405,-79.9725,409.19,7.742,87.66,41.64,0.843,1
88,2026-01-01T00:01:27Z,2026-01-01,00:01:27,28.6565,-79.9629,407.78,7.622,87.58,41.77,0.835,0.956
89,2026-01-01T00:01:28Z,2026-01-01,00:01:28,28.6541,-79.958,407.58,7.603,87.56,44.22,0.892,0.981
90,2026-01-01T00:01:29Z,2026-01-01,00:01:29,,-79.9507,408.84,7.601,87.52,,0.828,
91,2026-01-01T00:01:30Z,2026-01-01,00:01:30,28.6616,-79.9419,406.9,7.667,87.42,44.04,0.804,1
92,2026-01-01T00:01:31Z,2026-01-01,00:01:31,28.6431,-79.9327,408.66,7.654,87.33,42.78,0.835,0.948
93,2026-01-01T00:01:32Z,2026-01-01,00:01:32,28.6544,-79.9224,408.1,7.691,87.18,41.5,0.868,0.95
94,2026-01-01T00:01:33Z,2026-01-01,00:01:33,28.6632,-79.912,407.67,7.636,87.15,41.89,0.799,0.979
95,2026-01-01T00:01:34Z,2026-01-01,00:01:34,28.6611,-79.9031,407,7.669,87.03,43.01,0.803,0.982
96,2026-01-01T00:01:35Z,2026-01-01,00:01:35,28.6528,MISSING,408.46,7.653,87.03,43.22,0.809,0.972
97,2026-01-01T00:01:36Z,2026-01-01,00:01:36,28.6271,-79.8925,406.92,7.696,86.93,41.22,0.837,0.961
98,2026-01-01T00:01:37Z,2026-01-01,00:01:37,ERROR,-79.8859,408.48,7.637,86.76,MISSING,0.767,
99,2026-01-01T00:01:38Z,2026-01-01,00:01:38,28.6517,-79.8793,407.53,7.705,86.72,40.85,0.793,0.987
100,2026-01-01T00:01:39Z,2026-01-01,00:01:39,28.643,-79.8697,406.56,7.653,86.68,38.4,0.819,0.906
101,2026-01-01T00:01:40Z,2026-01-01,00:01:40,28.6496,-79.8614,,7.736,86.48,41.3,0.835,0.991
102,2026-01-01T00:01:41Z,2026-01-01,00:01:41,28.6697,-79.854,408.09,7.744,86.41,41.03,0.845,0.975
103,2026-01-01T00:01:42Z,2026-01-01,00:01:42,28.6807,-79.8485,408.04,7.663,86.37,38.05,0.837,0.947
104,2026-01-01T00:01:43Z,2026-01-01,00:01:43,28.6867,-79.8414,407.48,7.67,86.29,43.51,MISSING,0.977
105,2026-01-01T00:01:44Z,2026-01-01,00:01:44,28.6656,-79.8358,407.58,7.668,86.22,38.78,0.832,0.947
106,2026-01-01T00:01:45Z,2026-01-01,00:01:45,28.6757,-79.8288,408.59,7.607,86.15,43.54,0.809,0.977
107,2026-01-01T00:01:46Z,2026-01-01,00:01:46,28.6873,-79.8194,408.35,7.64,86.09,39.54,0.875,0.949
108,2026-01-01T00:01:47Z,2026-01-01,00:01:47,28.7051,-79.8098,408.47,7.722,86.02,40.41,0.799,0.943
109,2026-01-01T00:01:48Z,2026-01-01,00:01:48,28.7125,-79.8021,407.61,7.649,85.93,44.65,0.837,0.926
110,2026-01-01T00:01:49Z,2026-01-01,00:01:49,28.698,-79.7946,407.94,7.673,85.87,42.71,0.848,0.911
111,2026-01-01T00:01:50Z,2026-01-01,?,28.7172,-79.7889,406.23,7.688,85.83,42.31,0.823,1
112,2026-01-01T00:01:51Z,2026-01-01,00:01:51,28.7394,-79.7818,408.6,7.66,85.79,41.08,0.818,1
113,2026-01-01T00:01:52Z,2026-01-01,00:01:52,28.7449,-79.7737,409.79,7.659,85.76,41.55,0.744,0.952
114,2026-01-01T00:01:53Z,2026-01-01,00:01:53,28.7441,-79.7655,407.63,7.64,85.65,40.54,0.848,0.956
115,2026-01-01T00:01:54Z,2026-01-01,00:01:54,28.7377,-79.7585,408.69,7.688,85.48,41.16,0.769,0.979
116,2026-01-01T00:01:55Z,2026-01-01,00:01:55,28.71,-79.7533,407.5,7.628,85.43,40.91,0.845,1
117,2026-01-01T00:01:56Z,2026-01-01,00:01:56,28.7185,-79.7473,407.13,7.647,85.41,39.02,0.799,0.988
118,2026-01-01T00:01:57Z,2026-01-01,00:01:57,28.7032,-79.7417,407.76,7.725,85.33,41.57,0.838,0.943
119,2026-01-01T00:01:58Z,2026-01-01,00:01:58,28.708,-79.7372,408.42,7.614,85.26,42.11,0.789,1
120,2026-01-01T00:01:59Z,2026-01-01,00:01:59,28.7046,-79.7304,408.18,7.665,85.15,41.47,0.821,0.97
121,2026-01-01T00:02:00Z,2026-01-01,00:02:00,28.7056,-79.725,407.35,7.666,85.05,40.58,0.789,0.926
122,2026-01-01T00:02:01Z,2026-01-01,00:02:01,28.6962,-79.7152,408.43,7.658,85,42.09,0.835,0.998
123,2026-01-01T00:02:02Z,2026-01-01,00:02:02,28.6783,-79.7082,407.24,7.624,84.92,38.67,0.818,0.931
124,2026-01-01T00:02:03Z,2026-01-01,00:02:03,28.6709,-79.7012,407.56,7.704,84.82,41.24,0.783,0.96
125,2026-01-01T00:02:04Z,2026-01-01,00:02:04,28.6558,-79.6913,408.66,7.685,84.72,39.92,0.843,1
126,2026-01-01T00:02:05Z,2026-01-01,00:02:05,28.6697,-79.6859,407.28,7.665,84.67,40.23,0.869,0.975
127,2026-01-01T00:02:06Z,2026-01-01,00:02:06,28.6774,-79.6766,406.74,7.647,84.61,38.14,0.838,1
128,2026-01-01T00:02:07Z,2026-01-01,00:02:07,28.6797,-79.6747,407.21,7.762,84.54,36.88,0.838,0.906
129,2026-01-01T00:02:08Z,2026-01-01,00:02:08,28.6981,-79.6685,409.02,7.703,84.4,39.22,0.841,0.96
130,2026-01-01T00:02:09Z,2026-01-01,00:02:09,28.6978,-79.6636,409.13,7.68,84.37,36.47,0.809,0.974
131,2026-01-01T00:02:10Z,2026-01-01,00:02:10,28.6917,-79.6546,407.82,7.719,84.38,39.85,0.792,0.93
132,2026-01-01T00:02:11Z,2026-01-01,00:02:11,28.709,-79.6477,408,7.658,84.23,37.43,0.82,1
133,2026-01-01T00:02:12Z,2026-01-01,00:02:12,28.7343,-79.6384,407.01,7.643,84.13,37.72,0.753,0.95
134,2026-01-01T00:02:13Z,2026-01-01,00:02:13,28.7447,-79.6323,408.28,7.692,84.01,38.09,0.775,0.959
135,2026-01-01T00:02:14Z,2026-01-01,00:02:14,28.7452,-79.6232,407.76,7.694,83.99,37.55,0.805,0.993
136,2026-01-01T00:02:15Z,2026-01-01,00:02:15,28.7692,-79.6131,408.85,7.624,83.95,35.72,0.854,0.966
137,2026-01-01T00:02:16Z,2026-01-01,00:02:16,,-79.6061,408.06,7.696,83.76,ERROR,0.806,
138,2026-01-01T00:02:17Z,2026-01-01,00:02:17,MISSING,-79.5992,407.46,7.617,83.64,,0.775,MISSING
139,2026-01-01T00:02:18Z,2026-01-01,00:02:18,28.8099,-79.5925,408.39,7.672,83.59,35.23,0.794,0.939
140,2026-01-01T00:02:19Z,2026-01-01,00:02:19,28.8123,-79.5839,,7.656,83.53,36.23,0.799,0.903
141,2026-01-01T00:02:20Z,2026-01-01,00:02:20,28.8063,-79.5743,407.94,7.67,83.55,34.67,0.76,0.911
142,2026-01-01T00:02:21Z,2026-01-01,00:02:21,28.8022,-79.5665,408.19,7.695,83.47,36.04,0.807,0.971
143,2026-01-01T00:02:22Z,2026-01-01,00:02:22,28.8137,-79.5591,407.92,7.62,83.42,36.05,0.761,0.957
144,2026-01-01T00:02:23Z,2026-01-01,00:02:23,28.8111,-79.5524,407.19,7.624,83.28,33.27,0.785,0.974
145,2026-01-01T00:02:24Z,2026-01-01,00:02:24,28.8166,-79.5419,408.85,7.666,83.23,36.57,0.8,1
146,2026-01-01T00:02:25Z,2026-01-01,00:02:25,28.8079,-79.5308,407.7,7.586,83.17,34.61,0.766,1
147,2026-01-01T00:02:26Z,2026-01-01,00:02:26,28.8071,-79.5242,407.45,7.685,83.09,33.1,0.803,0.951
148,2026-01-01T00:02:27Z,2026-01-01,00:02:27,28.8014,-79.5178,407.55,7.642,82.9,30.61,0.781,0.974
149,2026-01-01T00:02:28Z,2026-01-01,00:02:28,28.8036,-79.511,408.92,7.654,82.85,33.73,0.779,1
150,2026-01-01T00:02:29Z,2026-01-01,00:02:29,28.8014,-79.5084,ERROR,7.674,82.83,33.06,0.799,0.981
151,2026-01-01T00:02:30Z,2026-01-01,00:02:30,28.7935,-79.5001,408.49,7.648,82.8,33.19,0.727,0.971
152,2026-01-01T00:02:31Z,2026-01-01,00:02:31,28.7742,-79.496,407.64,7.613,82.78,31.4,0.816,1
153,2026-01-01T00:02:32Z,2026-01-01,00:02:32,28.7729,-79.4883,407.66,7.619,82.69,33.09,0.801,0.985
154,2026-01-01T00:02:33Z,2026-01-01,00:02:33,28.781,-79.4801,408.06,7.667,82.63,34.63,0.808,0.983
155,2026-01-01T00:02:34Z,2026-01-01,00:02:34,28.7889,-79.472,,ERROR,ERROR,31.45,0.795,0.956
156,2026-01-01T00:02:35Z,2026-01-01,00:02:35,28.7819,-79.4605,407.9,7.669,82.55,32.78,0.801,0.946
157,2026-01-01T00:02:36Z,2026-01-01,00:02:36,28.7787,-79.4495,407.21,7.677,82.46,34.7,0.773,0.945
158,2026-01-01T00:02:37Z,2026-01-01,00:02:37,28.7556,-79.4448,409.54,7.662,82.35,34.46,0.819,0.972
159,2026-01-01T00:02:38Z,2026-01-01,00:02:38,28.7545,-79.4366,407.48,7.66,82.23,33.16,0.756,0.948
160,2026-01-01T00:02:39Z,2026-01-01,00:02:39,28.7732,-79.4283,407.28,7.679,82.19,31.55,0.745,1
161,2026-01-01T00:02:40Z,2026-01-01,00:02:40,28.7722,-79.4224,408.41,7.613,82.18,31.1,0.749,0.969
162,2026-01-01T00:02:41Z,2026-01-01,00:02:41,28.7626,-79.4139,406.2,7.642,82.14,28.89,0.75,0.989
163,2026-01-01T00:02:42Z,2026-01-01,00:02:42,28.7749,-79.4097,408.18,7.676,82.01,31.05,0.783,0.954
164,2026-01-01T00:02:43Z,2026-01-01,,28.7881,-79.4017,408.48,7.6,81.93,33.04,0.738,1
165,2026-01-01T00:02:44Z,2026-01-01,00:02:44,28.7646,-79.3929,407.6,7.676,81.87,29.06,0.783,0.923
166,2026-01-01T00:02:45Z,2026-01-01,00:02:45,,-79.3918,407.54,7.64,81.79,ERROR,0.763,MISSING
167,2026-01-01T00:02:46Z,2026-01-01,00:02:46,28.7423,-79.3846,407.18,7.615,81.76,30.93,0.803,1
168,2026-01-01T00:02:47Z,2026-01-01,00:02:47,28.7161,-79.3761,409.03,7.646,81.64,30.12,0.784,0.977
169,2026-01-01T00:02:48Z,2026-01-01,00:02:48,28.7193,-79.3696,407.39,7.635,81.52,29.33,0.786,0.973
170,2026-01-01T00:02:49Z,2026-01-01,00:02:49,28.7038,-79.36,407.75,7.676,81.42,25.8,0.763,0.97
171,2026-01-01T00:02:50Z,2026-01-01,00:02:50,28.675,-79.3526,408.08,7.698,81.39,30.05,?,0.946
172,2026-01-01T00:02:51Z,2026-01-01,00:02:51,28.6869,-79.3438,407.86,7.718,81.34,28.46,0.744,0.995
173,2026-01-01T00:02:52Z,2026-01-01,00:02:52,28.689,-79.337,407.75,7.66,81.22,28.28,0.748,0.919
174,2026-01-01T00:02:53Z,2026-01-01,00:02:53,28.6939,-79.3294,407.87,7.658,81.18,27.28,0.762,0.94
175,2026-01-01T00:02:54Z,2026-01-01,00:02:54,28.6845,-79.3226,,ERROR,,27.22,0.761,1
176,2026-01-01T00:02:55Z,2026-01-01,00:02:55,28.6623,-79.3189,408.27,7.667,81.04,27.78,0.797,0.989
177,2026-01-01T00:02:56Z,2026-01-01,00:02:56,28.673,-79.3094,408.34,?,81.01,27.42,0.782,1
178,2026-01-01T00:02:57Z,2026-01-01,00:02:57,28.6673,-79.3054,408.14,7.648,80.9,23.93,0.757,0.975
179,2026-01-01T00:02:58Z,2026-01-01,00:02:58,28.6737,-79.2992,407.68,7.625,80.82,26.42,0.795,1
180,2026-01-01T00:02:59Z,2026-01-01,00:02:59,28.6763,-79.2901,407.82,7.548,80.78,24.04,0.763,0.981
181,2026-01-01T00:03:00Z,2026-01-01,00:03:00,28.6888,-79.2819,408.82,7.699,80.7,24.9,0.769,0.93
182,2026-01-01T00:03:01Z,2026-01-01,00:03:01,28.6721,-79.2763,406.64,7.729,80.63,19.87,0.763,0.929
183,2026-01-01T00:03:02Z,2026-01-01,00:03:02,,-79.2659,408.35,7.68,80.57,,0.761,
184,2026-01-01T00:03:03Z,2026-01-01,00:03:03,28.6698,-79.2601,408.43,7.684,80.57,22.5,0.773,1
185,2026-01-01T00:03:04Z,2026-01-01,00:03:04,28.6714,-79.2542,408.2,7.641,80.48,22.75,0.738,0.97
186,2026-01-01T00:03:05Z,2026-01-01,00:03:05,28.686,-79.2456,409.48,7.694,80.4,23.41,0.743,0.959
187,2026-01-01T00:03:06Z,2026-01-01,00:03:06,28.6888,-79.237,407.61,7.629,80.2,20.63,0.768,1
188,2026-01-01T00:03:07Z,2026-01-01,00:03:07,,-79.2281,408.44,7.677,80.11,21.61,0.732,1
189,2026-01-01T00:03:08Z,2026-01-01,00:03:08,28.6601,-79.2231,408.42,7.618,79.99,19.7,0.723,0.977
190,2026-01-01T00:03:09Z,2026-01-01,00:03:09,28.673,-79.2165,408.64,7.583,79.95,18.95,0.789,0.983
191,2026-01-01T00:03:10Z,2026-01-01,00:03:10,28.6719,-79.2088,406.61,7.682,79.9,20.26,0.769,0.913
192,2026-01-01T00:03:11Z,2026-01-01,00:03:11,28.6846,-79.2082,409.66,7.655,79.8,18.45,0.806,0.987
193,2026-01-01T00:03:12Z,2026-01-01,00:03:12,28.6731,-79.1994,408.53,7.665,79.71,21.18,0.764,1
194,2026-01-01T00:03:13Z,2026-01-01,00:03:13,28.6833,-79.1923,408.07,7.627,79.66,21.16,0.744,0.962
195,2026-01-01T00:03:14Z,2026-01-01,00:03:14,28.6892,-79.1839,407.88,7.658,79.6,19.5,0.722,1
196,2026-01-01T00:03:15Z,2026-01-01,00:03:15,MISSING,-79.1777,408.95,7.655,79.64,20.59,0.797,0.981
197,2026-01-01T00:03:16Z,2026-01-01,00:03:16,28.723,-79.1736,407.94,7.607,79.5,19.67,0.758,1
198,2026-01-01T00:03:17Z,2026-01-01,00:03:17,28.7254,-79.1659,407.3,7.671,79.49,18.87,0.716,0.982
199,2026-01-01T00:03:18Z,2026-01-01,00:03:18,28.7455,-79.1576,407.7,7.715,79.39,17.17,0.762,1
200,ERROR,2026-01-01,00:03:19,28.736,-79.1454,408.24,7.631,79.33,20.09,0.766,0.932
